below,229
cities,216
health,263
computer,238
census,245
especially,206
movement,248
tv,204
church,351
highest,204
schools,222
ten,231
college,317
design,221
difficult,200
eight,221
forces,239
higher,219
itself,200
becomes,200
designed,205
hand,214
replaced,199
park,360
business,239
male,224
court,342
field,254
return,205
academy,212
spanish,195
front,230
leave,198
rather,209
george,195
currently,236
hours,199
stopped,194
why,223
destroyed,194
episode,199
larger,201
oldest,197
according,315
championship,320
call,204
development,255
rule,209
someone,206
try,195
brought,193
older,202
singer,198
earth,290
society,312
kill,201
rock,257
whole,191
site,201
asked,189
gives,189
originally,240
research,300
your,245
gold,241
plants,201
already,190
km,187
birth,193
grow,190
related,190
success,189
david,184
lower,209
robert,184
fourth,202
ideas,190
present,192
release,183
writer,188
read,188
saw,182
soviet,182
here,250
meant,181
needs,183
features,184
community,231
dead,202
natural,228
uk,178
damage,198
mean,184
past,186
canada,177
henry,177
royal,261
grew,177
road,296
italian,177
beginning,191
forms,178
middle,258
novel,182
plant,187
roman,175
active,178
matches,179
reason,176
sports,231
tell,181
green,263
hall,222
prison,189
true,188
kingdom,247
ancient,228
followed,172
kinds,171
mainly,172
bc,170
culture,203
described,170
happened,171
met,175
model,197
build,173
generally,191
minutes,174
province,209
services,189
board,250
discovered,167
learn,168
australian,166
our,201
care,180
closed,167
lines,176
low,170
science,260
central,314
charles,164
date,171
kept,165
rules,182
systems,192
tree,185
forced,163
leaves,171
roles,163
signed,163
theory,177
vote,167
causes,164
doing,170
friend,172
goals,163
powerful,166
radio,224
california,161
ago,162
department,282
marriage,165
placed,161
traditional,175
education,237
hold,166
summer,213
albums,180
material,164
medical,202
poor,167
really,163
heart,203
pieces,160
probably,161
separate,159
terms,160
write,160
awarded,158
quite,158
religious,178
scored,157
square,195
stars,182
turn,163
street,244
cut,161
eventually,211
nearly,174
stay,158
temperature,161
paris,155
russian,155
western,307
birds,184
blue,232
commonly,159
companies,167
involved,155
la,229
articles,175
fact,155
laws,169
musical,173
actress,176
cm,157
complete,166
runs,153
break,157
earlier,169
trying,154
wide,160
christian,151
create,151
husband,152
miles,166
throughout,173
republic,173
san,151
behind,156
bridge,206
independent,181
normal,160
southern,229
thomas,149
addition,156
animal,165
base,169
eggs,152
introduced,150
reach,149
rights,199
train,169
awards,268
institute,162
owned,149
pay,153
source,154
spent,149
mary,148
action,170
biggest,150
completed,149
dance,188
dark,184
disease,155
ran,151
singles,171
storm,197
paul,146
richard,146
act,260
happens,147
weeks,149
actually,152
passed,146
shape,148
shot,151
sister,150
tropical,202
artist,169
professional,162
simply,145
association,176
congress,151
contains,144
fast,148
humans,160
simple,164
museum,239
ability,146
allow,142
engine,149
fish,164
getting,150
ship,148
africa,141
becoming,143
easily,141
ice,178
seasons,148
skin,142
starts,142
studio,168
towards,146
turned,141
whether,148
grand,166
cells,143
further,155
helps,140
metal,154
performance,157
piece,146
structure,144
track,146
my,259
charge,141
covered,139
goal,140
meters,139
taking,147
future,151
machine,160
producer,143
remains,143
travel,145
winning,145
greek,137
copies,140
effect,143
except,143
industry,154
room,164
speed,153
stations,141
michael,136
adult,159
episodes,142
ones,141
private,167
programs,139
recent,150
studies,196
thing,145
m,161
moving,141
eyes,144
families,146
hot,184
nature,166
paid,135
trees,140
units,138
catholic,135
appear,133
debut,137
defeated,135
face,149
legs,137
relationship,133
remained,134
americans,132
levels,135
mass,148
results,138
african,131
dutch,131
class,167
code,161
competition,142
edition,179
giving,136
happen,135
individual,136
key,150
project,188
referred,131
reviews,139
running,137
troops,136
ball,156
letter,138
mountain,175
painting,135
produce,131
student,141
dry,136
likely,129
nine,157
spread,130
britain,128
senate,144
aircraft,142
anything,134
artists,140
centre,197
let,156
location,134
object,130
objects,135
plan,154
regular,132
division,245
easy,138
girl,175
houses,134
letters,149
nominated,127
showed,128
brain,144
cars,140
effects,136
fall,156
lasted,126
leaving,129
paper,140
positive,130
taught,127
test,151
weight,133
canadian,127
queen,179
conditions,129
hair,127
host,127
table,134
peter,124
allows,124
appears,124
author,128
border,135
coast,176
exist,125
function,125
standard,153
talk,136
training,143
upon,155
italy,123
acting,132
decision,125
islands,210
rich,135
subject,125
lake,222
legal,133
method,128
score,125
understand,122
value,125
voice,136
northern,235
buried,122
females,152
gas,133
records,220
sex,133
view,135
listed,121
month,126
news,185
regions,126
workers,139
lee,119
prime,168
enemy,120
finds,120
leading,125
lots,128
reasons,121
sides,120
specific,124
star,208
territory,156
twice,123
versions,119
feel,124
follow,123
males,152
reported,118
seat,119
supported,119
tour,204
widely,120
prince,155
degree,128
die,139
ends,117
entire,117
officially,120
plane,118
championships,154
completely,117
continue,117
launched,116
meet,123
selected,120
sure,117
empire,159
korea,115
sun,177
cold,144
commercial,124
elections,129
evidence,124
foreign,172
heavy,128
leaders,124
magazine,159
nearby,123
organization,141
products,118
protect,117
provide,115
removed,115
appearance,117
arrondissement,116
entered,116
flight,146
historical,145
speak,118
starting,138
whose,116
latin,113
billion,115
boy,150
clear,120
elements,117
fighting,130
looks,115
mixed,120
rate,117
rivers,131
status,118
wants,117
yellow,141
begins,115
composed,114
fought,113
increase,112
interest,117
killing,120
planned,113
pressure,112
previous,115
broke,113
cost,114
deep,135
feature,115
figure,121
flat,118
join,112
multiple,117
network,175
section,137
tries,111
mexico,110
pakistan,110
spain,110
activities,116
article,130
bring,116
difference,113
eastern,208
lawyer,114
looking,120
primary,130
towns,118
week,124
yet,125
super,118
directly,109
environment,129
finally,164
perform,109
split,116
trade,143
asia,108
chicago,108
democratic,126
smith,110
agreed,110
bigger,111
distance,112
heard,109
sexual,118
showing,111
journal,150
kansas,107
russia,107
bought,107
campaign,125
chosen,110
coach,110
contract,108
couple,113
course,111
faster,108
oil,118
ring,135
saying,107
trains,112
worldwide,111
committee,148
women's,199
brown,182
buy,108
claimed,106
fans,110
fell,110
floor,109
picture,116
ruled,108
ships,110
text,113
unknown,115
chief,195
ireland,105
dangerous,112
everything,124
greatest,134
majority,111
media,145
meeting,116
methods,107
morning,129
particular,105
pass,119
recording,116
scientists,155
stayed,105
tournament,121
variety,112
los,110
louis,104
washington,104
bottom,110
cell,111
easier,105
forest,145
medal,155
symbol,105
user,108
weather,125
